date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:00:07	1756/1756	---M-Z	200	added ('OK')	application/javascript	etag:%2237a94f4eb65249a048cb06a8adabf4d0-ssl-df%22	https://superdesigner.co/_next/static/chunks/webpack-3c67ae7a563786aa.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/chunks/webpack-3c67ae7a563786aa.js	(from https://superdesigner.co/resources/css-shapes)
16:00:09	140753/140753	---MCZ	200	added ('OK')	application/javascript	etag:%22df918ae750b74f6f0f96b22f074f206a-ssl-df%22	https://superdesigner.co/_next/static/chunks/framework-ca097c935992717b.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/chunks/framework-ca097c935992717b.js	(from https://superdesigner.co/resources/css-shapes)
16:00:10	105126/105126	---MCZ	200	added ('OK')	application/javascript	etag:%22abf30fcaa2d2e4209aafcd7d8f548884-ssl-df%22	https://superdesigner.co/_next/static/chunks/main-94d0446a812ed4da.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/chunks/main-94d0446a812ed4da.js	(from https://superdesigner.co/resources/css-shapes)
16:00:12	15341/15341	---MCZ	200	added ('OK')	application/javascript	etag:%22f774622798285993d8c38f8da9116fe9-ssl-df%22	https://superdesigner.co/_next/static/chunks/pages/_app-3e762dadf25cbafb.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/chunks/pages/_app-3e762dadf25cbafb.js	(from https://superdesigner.co/resources/css-shapes)
16:00:13	6614/6614	---MCZ	200	added ('OK')	application/javascript	etag:%22e1d4f776340e92cf75045ebe798453e2-ssl-df%22	https://superdesigner.co/_next/static/chunks/1664-ab0c95d8d8af460c.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/chunks/1664-ab0c95d8d8af460c.js	(from https://superdesigner.co/resources/css-shapes)
16:00:15	16035/16035	---MCZ	200	added ('OK')	application/javascript	etag:%226970b8e237ff8c8c5ed8fa1bf50fa2c2-ssl-df%22	https://superdesigner.co/_next/static/chunks/pages/resources/css-shapes-96b60a271939c1bd.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/chunks/pages/resources/css-shapes-96b60a271939c1bd.js	(from https://superdesigner.co/resources/css-shapes)
16:00:16	4130/4130	---MCZ	200	added ('OK')	application/javascript	etag:%226ce37b937dcb18d4c2027f53a97c28f2-ssl-df%22	https://superdesigner.co/_next/static/aTHEUmMSMcByiCwKDLTlD/_buildManifest.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/aTHEUmMSMcByiCwKDLTlD/_buildManifest.js	(from https://superdesigner.co/resources/css-shapes)
16:00:17	77/77	---M--	200	added ('OK')	application/javascript	etag:%224fa4dcc133fddfc011cfda6e905ecf89-ssl%22	https://superdesigner.co/_next/static/aTHEUmMSMcByiCwKDLTlD/_ssgManifest.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/aTHEUmMSMcByiCwKDLTlD/_ssgManifest.js	(from https://superdesigner.co/resources/css-shapes)
16:00:18	92/92	---M--	200	added ('OK')	application/javascript	etag:%22d6ce26a61385859df69faa41915b43f8-ssl%22	https://superdesigner.co/_next/static/aTHEUmMSMcByiCwKDLTlD/_middlewareManifest.js	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/_next/static/aTHEUmMSMcByiCwKDLTlD/_middlewareManifest.js	(from https://superdesigner.co/resources/css-shapes)
16:00:21	150061/150061	---M--	200	added ('OK')	image/png	etag:%223ffe2cf42d24f182d4956f547c0b4a48-ssl%22	https://superdesigner.co/img/mesh_gradient_bg.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/mesh_gradient_bg.png	(from https://superdesigner.co/resources/css-shapes)
16:00:22	87549/87549	---M--	200	added ('OK')	image/png	etag:%22f99fba1b1bb0b6ee26dc9c185130f8d7-ssl%22	https://superdesigner.co/img/unicorn-icons.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/unicorn-icons.png	(from https://superdesigner.co/resources/css-shapes)
16:00:22	32892/32892	---M--	200	added ('OK')	image/png	etag:%221665611ae199254154d0e22cd9e43419-ssl%22	https://superdesigner.co/img/ikit.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/ikit.png	(from https://superdesigner.co/resources/css-shapes)
16:00:26	140825/140825	---M--	200	added ('OK')	image/png	etag:%2241032b9981f4d49f21767b979c04474e-ssl%22	https://superdesigner.co/img/css-shape.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/css-shape.png	(from https://superdesigner.co/resources/css-shapes)
16:00:26	64132/64132	---M--	200	added ('OK')	image/png	etag:%22c569b211e0381300a5769f45763cc388-ssl%22	https://superdesigner.co/img/svg_backgrounds.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/svg_backgrounds.png	(from https://superdesigner.co/resources/css-shapes)
16:00:28	64711/64711	---M--	200	added ('OK')	image/png	etag:%2228c068eac385418c0afc11faa040e361-ssl%22	https://superdesigner.co/img/3d_shapes.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/3d_shapes.png	(from https://superdesigner.co/resources/css-shapes)
16:00:29	24261/24261	---M--	200	added ('OK')	image/png	etag:%22132d08ff3fee60e6d00385e1a3504aca-ssl%22	https://superdesigner.co/img/bg.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/bg.png	(from https://superdesigner.co/resources/css-shapes)
16:00:30	23475/23475	---M--	200	added ('OK')	image/png	etag:%22dda4ee0e02dcfe637f510a82ef84ade8-ssl%22	https://superdesigner.co/img/pattern.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/pattern.png	(from https://superdesigner.co/resources/css-shapes)
16:00:31	9894/9894	---M--	200	added ('OK')	image/png	etag:%229604f9df988e6ff593d64725ac1bd974-ssl%22	https://superdesigner.co/img/blob.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/blob.png	(from https://superdesigner.co/resources/css-shapes)
16:00:33	812/812	---M--	200	added ('OK')	image/png	etag:%22eaa174126ea4e25b00a14dc772ccf3f7-ssl%22	https://superdesigner.co/img/color.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/color.png	(from https://superdesigner.co/resources/css-shapes)
16:00:33	119926/119926	---M--	200	added ('OK')	image/png	etag:%22efab6c975ea972ced9c1bcdf87fe8b18-ssl%22	https://superdesigner.co/img/grad.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/grad.png	(from https://superdesigner.co/resources/css-shapes)
16:00:35	1400/1400	---M--	200	added ('OK')	image/png	etag:%22008a3be68824da744080d857c9f7ba99-ssl%22	https://superdesigner.co/img/shades.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/shades.png	(from https://superdesigner.co/resources/css-shapes)
16:00:37	149081/149081	---M--	200	added ('OK')	image/png	etag:%225d63c1848c8ada949090a6e14b375da2-ssl%22	https://superdesigner.co/img/css_bg.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/css_bg.png	(from https://superdesigner.co/resources/css-shapes)
16:00:38	9229/9229	---MCZ	404	error ('Not%20Found')	text/html	etag:1613221048-ssl-df	https://superdesigner.co/resources/%22https://cdn.pixabay.com/photo/2021/04/06/11/22/hawa-mahal-6156123_1280.jpg%22	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/resources/_https_/cdn.pixabay.com/photo/2021/04/06/11/22/hawa-mahal-6156123_1280.28.delayed	(from https://superdesigner.co/resources/css-shapes)
16:00:39	48384/48384	---M--	200	added ('OK')	image/png	etag:%22b875871a7069584590e7442637522f46-ssl%22	https://superdesigner.co/img/css_pattern.png	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/img/css_pattern.png	(from https://superdesigner.co/resources/css-shapes)
16:00:40	167/167	---M--	301	error ('Moved%20Permanently')	text/html	date:Fri,%2021%20Jun%202024%2010:30:43%20GMT	http://cdn.carbonads.com/carbon.js?serve=CEAIL23U&placement=superdesignerco	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/cdn.carbonads.com/carbon.2a1e43.delayed	(from https://superdesigner.co/resources/css-shapes)
16:00:40	38006/38006	---MCZ	200	added ('OK')	application/javascript	etag:W/%222c3859cb7ecbeacca43f6b78e29083e6%22	https://cdn.carbonads.com/carbon.js?serve=CEAIL23U&placement=superdesignerco	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/cdn.carbonads.com/carbon1e43.js	(from https://superdesigner.co/resources/css-shapes)
16:00:41	293860/293860	---M--	200	added ('OK')	image/jpeg	etag:%229ffdfae7bc66f6b27971d9b73eb35a9f-ssl%22	https://superdesigner.co/avatar.jpg	D:/My%20Web%20Sites/fresh-Banglow-animation-bar-website/Blob-generator/superdesigner.co/avatar.jpg	(from https://superdesigner.co/resources/css-shapes)
